id,mark,model,year,price
3607402-a44affdb,HONDA,GL_1800,2018,22400
3605212-a4a58249,HONDA,GL_1800,2018,22034
3604904-aac614b3,HONDA,NC_750,2018,5441
3445180-579a686f,HONDA,NC_750_X,2018,5312
3596188-4cfc4a30,HONDA,GL_1800,2018,25413
3572534-1f7079dc,HONDA,CB_1000R,2018,9000
3297838-a15dbd8b,HONDA,CB_1000R,2018,8745
3594164-0fd5d648,HONDA,GL_1800,2018,23190
3597576-66533041,HONDA,CRF_1000L_AFRICA_TWIN,2018,12191
3594186-d693cacb,HONDA,GL_1800,2018,23190
3590677-601bd1ee,HONDA,CRF_1000L_AFRICA_TWIN,2018,10170
3591674-a12dd21a,HONDA,CBR_1000_RR,2018,12308
3598646-e0b11b0e,HONDA,CBR_600_RR,2018,7709
3597622-4b240823,HONDA,GL_1800,2018,19187
3203544-fb230311,HONDA,GL_1800,2018,23190
3590695-2c84a448,HONDA,CRF_1000L_AFRICA_TWIN,2018,9781
3565022-2c270f89,HONDA,NC_750_X,2017,7773
3522398-421c380d,HONDA,VFR_1200X_XD,2017,11012
3618322-537631db,HONDA,CBR_650_F,2017,5079
3618370-78162786,HONDA,NC_750_X,2017,5843
3618816-312332ef,HONDA,400X,2017,4858
3559352-dc5f5cb4,HONDA,GL_1800,2017,18138
3608682-ddd53c87,HONDA,CB_650_F,2017,7838
3430660-163c3f92,HONDA,CTX_700,2017,5830
3190693-7aeb360a,HONDA,CRF_1000L_AFRICA_TWIN,2017,11660
3552352-b1af1c5b,HONDA,VFR_1200X_XD,2017,12308
3542584-281f7b54,HONDA,GL_1800,2017,14899
3371438-ef0dd05f,HONDA,GL_1800,2017,15547
3429142-c3c663e1,HONDA,NC_750,2017,6802
3217538-eb79275e,HONDA,NC_750_X,2017,7320
3529744-39c06b60,HONDA,CB_1100,2017,10883
3344610-ae46b448,HONDA,CBR_1000_RR,2017,11660
3564442-9e09f639,HONDA,CBR_500_R,2017,5312
3559382-4ff5e89c,HONDA,VFR_1200,2017,14251
3528474-4015c2d3,HONDA,NC_750_X,2017,7061
3470044-e519ce05,HONDA,CRF_1000L_AFRICA_TWIN,2017,9328
3571352-2cca0aa6,HONDA,CRF_1000L_AFRICA_TWIN,2017,11919
3588048-1ee06e44,HONDA,GL_1800,2017,18138
3574142-3abafaa4,HONDA,CB_500F,2017,5100
3607904-34db70fb,HONDA,NC_750,2017,6672
3398990-2ce41f36,HONDA,CBR_1000_RR,2017,12308
3469834-070ab73b,HONDA,CRF_1000L_AFRICA_TWIN,2017,9328
3524732-d6a74aa0,HONDA,GL_1800,2017,20729
3387030-df13db8f,HONDA,NC_750_X,2017,7190
2924485-11fbc4a7,HONDA,CBR_500_R,2017,4550
3563966-0ac1e580,HONDA,CBR_600_RR,2017,12955
2229003-211fd,HONDA,GL_1800,2017,38866
3316122-0788c534,HONDA,MSX,2017,3239
